GPU,Queue,Graph,Vertices,Edges,Threads,Block,Time_med_s,Time_iqr_s,TEPS_med_Gedges/s,TEPS_iqr_Gedges/s
MI300A,GLFQ,../gunrock/datasets/road_usa/road_usa.mtx,23947347,57708624,1024,256,1014.93,0.451414,0.0625148,9.38457e-06
MI300A,GWFQ,../gunrock/datasets/road_usa/road_usa.mtx,23947347,57708624,1024,256,1466.73,345.798,0.0427783,0.000150124
MI300A,GLFQ,../gunrock/datasets/road_usa/road_usa.mtx,23947347,57708624,2048,256,849.436,3.52893,0.0747825,0.00025317
MI300A,GWFQ,../gunrock/datasets/road_usa/road_usa.mtx,23947347,57708624,2048,256,961.828,2.56642,0.0646899,9.89737e-05
MI300A,GLFQ,../gunrock/datasets/road_usa/road_usa.mtx,23947347,57708624,4096,256,1197.57,206.629,0.0531846,0.00013296
MI300A,GWFQ,../gunrock/datasets/road_usa/road_usa.mtx,23947347,57708624,4096,256,1368.22,223.418,0.0460702,0.000583641
MI300A,GLFQ,../gunrock/datasets/road_usa/road_usa.mtx,23947347,57708624,8192,256,2271.62,214.479,0.0286768,0.000236738
MI300A,GLFQ,../gunrock/datasets/roadNet-CA/roadNet-CA.mtx,1971281,5533214,1024,256,86.546,0.167662,0.0728516,0.000140624
MI300A,GWFQ,../gunrock/datasets/roadNet-CA/roadNet-CA.mtx,1971281,5533214,1024,256,107.086,0.229712,0.061444,0.000303302
MI300A,GLFQ,../gunrock/datasets/roadNet-CA/roadNet-CA.mtx,1971281,5533214,2048,256,80.6794,0.675655,0.0792548,0.000605339
MI300A,GWFQ,../gunrock/datasets/roadNet-CA/roadNet-CA.mtx,1971281,5533214,2048,256,89.805,0.255682,0.0730528,0.000228053
MI300A,GLFQ,../gunrock/datasets/roadNet-CA/roadNet-CA.mtx,1971281,5533214,4096,256,104.439,1.05006,0.0563823,0.000358296
MI300A,GWFQ,../gunrock/datasets/roadNet-CA/roadNet-CA.mtx,1971281,5533214,4096,256,113.809,1.02163,0.0565114,0.000451243
MI300A,GLFQ,../gunrock/datasets/roadNet-CA/roadNet-CA.mtx,1971281,5533214,8192,256,191.123,4.02772,0.0305959,0.000778924
MI300A,GWFQ,../gunrock/datasets/roadNet-CA/roadNet-CA.mtx,1971281,5533214,8192,256,188.064,1.85071,0.0323416,0.000471224
MI300A,GWFQ,../gunrock/datasets/road_usa/road_usa.mtx,23947347,57708624,8192,256,451.906,458.595,0.0156173,0.00705058
MI210,GLFQ,../gunrock/datasets/hollywood-2009/hollywood-2009.mtx,1139905,112751422,1024,256,40.2795,0.433912,0.399967,0.00422321
MI300A,WFQ,ak2010.mtx,45292,217098,512,256,10.5454,0.03614,0.0217224,0.000200913
MI300A,WFQ,ak2010.mtx,45292,217098,1024,256,14.0604,0.318272,0.0156665,0.000382486
MI300A,WFQ,ak2010.mtx,45292,217098,2048,256,15.965,1.06587,0.013491,0.00101002
MI300A,WFQ,ak2010.mtx,45292,217098,4096,256,23.2233,0.315713,0.00537749,7.60439e-05
MI300A,WFQ,ak2010.mtx,45292,217098,8192,256,38.5477,1.34747,0.000489276,1.79436e-05
MI300A,WFQ,belgium_osm.mtx,1441295,3099940,512,256,236.417,5.6692,0.0146908,5.59142e-05
MI300A,WFQ,belgium_osm.mtx,1441295,3099940,1024,256,272.785,3.36196,0.0124939,0.000112892
MI300A,WFQ,belgium_osm.mtx,1441295,3099940,2048,256,144.483,10.1112,0.0237311,0.000379348
MI300A,WFQ,belgium_osm.mtx,1441295,3099940,4096,256,167.151,59.4978,0.0133674,0.000321208
MI300A,WFQ,belgium_osm.mtx,1441295,3099940,8192,256,297.693,27.9809,0.00311807,0.000233563
MI300A,WFQ,delaunay_n24.mtx,16777216,100663202,512,256,1794.12,20.8754,0.0575277,0.000117303
MI300A,WFQ,delaunay_n24.mtx,16777216,100663202,1024,256,980.073,145.852,0.106891,0.000319959
MI300A,WFQ,delaunay_n24.mtx,16777216,100663202,2048,256,616.039,4.32271,0.16954,0.000799717
MI300A,WFQ,delaunay_n24.mtx,16777216,100663202,4096,256,505.382,70.7221,0.231412,0.0042459
MI300A,WFQ,delaunay_n24.mtx,16777216,100663202,8192,256,495.16,5.12145,0.217331,0.00104299
MI300A,WFQ,roadNet-CA.mtx,1971281,5533214,512,256,130.438,0.410563,0.0447517,0.000120559
MI300A,WFQ,roadNet-CA.mtx,1971281,5533214,1024,256,84.4238,0.956547,0.0715515,0.000853297
MI300A,WFQ,roadNet-CA.mtx,1971281,5533214,2048,256,77.5292,1.64035,0.0793032,0.00167626
MI300A,WFQ,roadNet-CA.mtx,1971281,5533214,4096,256,93.6842,27.1294,0.0655553,0.00024793
MI300A,WFQ,roadNet-CA.mtx,1971281,5533214,8192,256,89.2655,1.3526,0.0540652,0.000783554
MI300A,WFQ,road_usa.mtx,23947347,57708624,512,256,1746.96,20.5588,0.0348625,0.000196201
MI300A,WFQ,road_usa.mtx,23947347,57708624,1024,256,1080.44,3.12263,0.0582904,0.00013201
MI300A,WFQ,road_usa.mtx,23947347,57708624,2048,256,823.892,6.14071,0.0782059,0.000439506
MI300A,WFQ,road_usa.mtx,23947347,57708624,4096,256,820.761,16.2054,0.0793278,0.000142817
MI300A,WFQ,road_usa.mtx,23947347,57708624,8192,256,699.241,9.75226,0.0814378,0.000501069
MI300A,WFQ,hollywood-2009.mtx,1139905,112751422,512,256,357.634,8.16974,0.31542,0.00707399
MI300A,WFQ,hollywood-2009.mtx,1139905,112751422,1024,256,190.975,1.30153,0.591393,0.00398746
MI300A,WFQ,hollywood-2009.mtx,1139905,112751422,2048,256,107.564,1.95037,1.05287,0.0196686
MI300A,WFQ,hollywood-2009.mtx,1139905,112751422,4096,256,71.4388,1.11637,1.58877,0.0264798
MI300A,WFQ,hollywood-2009.mtx,1139905,112751422,8192,256,69.2143,1.82496,1.64067,0.0438009
MI300A,WFQ,kron_g500-logn21.mtx,2097152,182081864,512,256,847.176,0.844466,0.215082,0.000213124
MI300A,WFQ,kron_g500-logn21.mtx,2097152,182081864,1024,256,409.627,0.835986,0.445168,0.000884412
MI300A,WFQ,kron_g500-logn21.mtx,2097152,182081864,2048,256,230.717,3.06128,0.791554,0.0106565
MI300A,WFQ,kron_g500-logn21.mtx,2097152,182081864,4096,256,128.36,0.784606,1.42573,0.00867104
MI300A,WFQ,kron_g500-logn21.mtx,2097152,182081864,8192,256,120.908,29.5727,1.51476,0.491072
MI300A,WFQ,europe_osm.mtx,50912018,108109320,512,256,6585.21,135.777,0.017042,4.9745e-05
MI300A,WFQ,europe_osm.mtx,50912018,108109320,1024,256,5966.17,170.299,0.0194408,0.00044542
MI300A,WFQ,europe_osm.mtx,50912018,108109320,2048,256,7947.96,48.0324,0.0151646,5.0188e-05
MI300A,WFQ,europe_osm.mtx,50912018,108109320,4096,256,13949.4,598.243,0.00837457,6.56805e-05
MI300A,WFQ,europe_osm.mtx,50912018,108109320,8192,256,1639.41,201.81,0.0696184,0.000774986
MI210,WFQ,ak2010.mtx,45292,217098,512,256,15.1517,0.162012,0.0143805,0.000189954
MI210,WFQ,ak2010.mtx,45292,217098,1024,256,16.8937,0.231674,0.0128865,0.000189297
MI210,WFQ,ak2010.mtx,45292,217098,2048,256,22.2506,0.07567,0.00964391,7.62115e-06
